Product_name,Rating,Price,Discount_rate,Customer_reviews,Category,Sub_Category
SXCHEN Sleep shading eye mask new Korean version creative cute cartoon soft panda eye mask Sleeping Eye Mask Eyeshade Cover Blindfold Travel Eyepatch Rest Night Sleep Masks Traveling Sleep Eye,4.4,299.0,(-57%),87 Customer reviews,Vision Care,Eye Patches
120W 45LEDS UV Nail Drying Lamp for Curing Gel Polish 45leds Professional Nail Dryers With Timer Auto Sensor Manicure Pedicure Tools,4.3,1449.0,52% off,1013 Customer reviews,Beauty,Make Up
LA Girl USA Face Infinity Primer & Pro Setting Spray,4.5,371.0,26% off,43 Customer reviews,Beauty,Make Up
USB Rechargeable Cordless Hair Shaving Machine Electric Shaver Hair Clipper Body Groomer – Precision & Style in One!,4.0,825.0,(-50%),1 Customer reviews,Men's,Body Groomers
Micro Needle 540 Roller Derma Roller Dermaroller Titanium Hair Regrowth Beard Growth Anti Hair Loss Treatment Thinning Receding,4.4,350.0,(-41%),258 Customer reviews,Men's,Beard & Mustache Care
4PCS/SET 8.5 ML Reflective Glitter Gel Pink Sequins Gel Nail Polish Soak Off UV Nail Gel Semi-permanent Nail Art Decoration,4.1,699.0,(-76%),70 Customer reviews,Beauty,Make Up
3-Piece Eye Care Set Eye Essence Eye Cream Stick Eye Mask Retinol Anti-Wrinkle Mossturizing Smoothes Fade Dark Eye Circle,4.5,698.0,42% off,20 Customer reviews,Eyes,Masks
54W/120W Nail Lamp Manicure Set Nail Polish Kit With UV Nails Drying Lamp Polish Set Soak Off Manicure Tools Set Gel Nail Kits GO HOME,4.4,2399.0,(-20%),282 Customer reviews,Beauty,Make Up
Titan Gel Man Penis Enlargement Cream Sex Gel Big Dick Lasting Erection Size Health Care Penis Growth Thicken Enlarge Enhancer XXL Cream--,4.5,499.0,(-99%),16 Customer reviews,Vitamins & Dietary Supplements,Vitamins
Nail polish light polishing machine set complete set of beginner nail polish glue tool set nail enhancement tool nail enhancement phototherapy machine,4.5,2499.0,(-30%),253 Customer reviews,Beauty,Make Up
Full frontal semi human wig,5.0,3300.0,(-17%),1 Customer reviews,Hair Weaves,3--4 Bundles
【Discounted】L'Oreal Paris GLYCOLIC BRIGHT FACE CLEANSER FOAM 100ML,4.7,899.0,(-55%),231 Customer reviews,Face,Cleansers
"3 Packs Vaseline Set Daily Brightening Even Tone Body Lotion + Oil + Serum for Glowing Skin, with Vitamin B3 & Triple Sunscreens - 400ml For Radiant Looking Skin in 2 Weeks Vaseline Body Lotion",3.9,1999.0,(-42%),12 Customer reviews,Body,Sets & Kits
【Effective in 3 days】 18pcs/Set Slimming Coffee Herbal Thin Belly Tea Weight Loss Green Coffee for Flat Tummy Slimming Tea Fit Tea Natural Health Weight Original Weight Loss Tea Tea Herbal -,5.0,899.0,(-98%),3 Customer reviews,Vitamins & Dietary Supplements,Minerals
Oral Irrigator Portable Dental Water Flosser USB Rechargeable Water Jet Floss Tooth Pick 4 Jet Tip 220ml 3 Modes IPX7 1400rpm,4.5,1459.0,79% off,19 Customer reviews,Oral Care,Dental Care Kits
"Sadoer 5 Pieces, Vitamin C Face Serum + AHA BHA Serum + Niacinamide Face Brightening + Retinol Caffeine Serum + Salicylic Acid Serum Oil Control, Face Brightening , Anti Aging, Anti Wrinkles",4.6,759.0,85% off,175 Customer reviews,Face,Creams & Moisturizers
3 PCS Popular Women Perfume Set 3 in 1 Ladies Perfume Long Lasting Fresh Perfumes Light Fragrance Gift Perfume Set,4.7,959.0,(-70%),355 Customer reviews,Beauty,Fragrance
"Jamaican Black Castor Oil- For Hair Growth,Hair Loss,Breakage",4.4,221.0,(-44%),92 Customer reviews,Styling Products,Oils&Pomades
Ice Facial Roller Skin Care Beauty Lifting Contouring Tools Ice Cube Trays Ice Globe Balls Face Massager Skin Care Tool,4.8,499.0,29% off,41 Customer reviews,Skin Care Tools,Other Skin Care Tools
"Advanced Scar Gel Medical-Grade Silicone for Face, Body, Stretch Marks, C-Sections, Surgical, Burn, Acne, Old & New Scars",5.0,999.0,(-71%),1 Customer reviews,First Aid,Burn Care
Garnier Eventone Day Routine Kit: Even & Matte Vitamin C Cleansing Foam + Serum + Sunscreen Spf 30,4.7,2169.0,41% off,129 Customer reviews,Skin Care,Sets & Kits
3 Pack Stainless Steel Flat Tweezers for Hair and Eyebrows - Hair Plucker and Personal Care Tool,4.4,260.0,(-13%),14 Customer reviews,Women's,Tweezers
28Colors Makeup Eyeshadow Palette with Brush Matte Pigment Eye Shadow Powder Metallic Glitter Make Up Cosmetic,4.7,399.0,(-69%),120 Customer reviews,Beauty,Make Up
Coffee Sea Salt Bath + Gloves Pair - Brightening & Whitening SPA Scrub Exfoliating Face Body Dead Skin Dr Meinaier and Exfoliating Bath Glove Cleaning Body Cleanser Set,4.7,390.0,57% off,90 Customer reviews,Body,Scrubs & Body Treatments
